"V1","V2","V3","V4","V5","V6","V7","V8","V9"
0.957747518780073,0.027984602615086,0.00438808563510825,0.00119672388121312,1.7682340857352e-06,8.81663228870069e-05,1.55058794148385e-05,4.16903616481519e-06,0.00857345961596688
0,0.901599291735407,0,0.0895051874267756,0.000186566637182786,0,0.000104170796297373,2.86959673105723e-05,0.00857608743702677
0,0,0.908506238362231,0.0207985667391619,4.22536079095743e-05,0.0423588617248578,0.0125975899542434,0.00600450716185141,0.00969198244974469
0,0,0,0.98407066344046,0.00295785345329354,0,0.00280512242496275,0.00135563422280297,0.00881072645848115
0,0,0,0,0.0278489542544719,0,0.295976438913423,0.487774752230488,0.188399854601618
0,0,0,0,0,0.383921483309328,0.264014896170585,0.263015881587632,0.0890477389324549
0,0,0,0,0,0,0.159481678477263,0.52636170826693,0.314156613255807
0,0,0,0,0,0,0,0.439798260553473,0.560201739446527
0,0,0,0,0,0,0,0,1
