"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",0.999806184734123
"18",0.999358936908027
"19",0.998582582649746
"20",0.997381564870172
"21",0.995640131561945
"22",0.993215808023783
"23",0.989943455333374
"24",0.985630004340678
"25",0.980045981057978
"26",0.972947683603423
"27",0.964101200280968
"28",0.953211384081655
"29",0.939977349695081
"30",0.924096609830597
"31",0.90536642010368
"32",0.883489218832975
"33",0.858247369559052
"34",0.829468066225059
"35",0.797119555984191
"36",0.761141432932207
"37",0.721403202385384
"38",0.678498449301919
"39",0.6323909003181
"40",0.583523732848906
"41",0.532948586624045
"42",0.480127312173546
"43",0.427049332047773
"44",0.374209861637168
"45",0.322250248965991
"46",0.27171448690034
